year,   jan,    feb,    mar,    apr,    may,    jun,   jul,   aug,   sep,   oct,   nov,   dec,    win,    spr,    sum,    aut,    ann
1937, 144.0,  129.1,  101.4,   68.1,   71.0,   41.6,  35.2,  35.4,  58.8,  89.2,  44.1, 103.3,  349.0,  240.5,  112.2,  192.2,  921.3
1938,  87.3,   20.0,   10.0,    5.8,   52.5,   20.2,  54.5,  57.6,  55.5,  92.5, 102.9,  94.3,  210.6,   68.3,  132.4,  250.9,  653.1
1939, 137.9,   37.9,   38.6,   67.7,   37.6,   43.6,  92.8,  59.5,  28.2, 157.9, 149.8,  44.8,  270.1,  143.9,  195.9,  335.8,  896.2
1940,  68.3,   68.4,   76.7,   40.5,   29.3,   16.0,  77.4,   2.5,  40.5,  97.6, 199.2,  49.2,  181.4,  146.5,   95.9,  337.3,  765.5
1941,  78.8,   73.5,   80.3,   41.9,   49.6,   46.5,  74.8, 112.8,  12.8,  34.9,  81.1,  50.7,  201.5,  171.7,  234.1,  128.8,  737.7
1942,  80.6,   18.4,   64.0,   39.6,   89.3,    9.1,  51.5,  80.6,  53.7,  98.7,  48.5,  93.5,  149.6,  193.0,  141.2,  201.0,  727.6
1943, 143.9,   38.0,   14.5,   27.7,   69.6,   38.1,  53.4,  45.3,  46.1,  85.7,  46.1,  53.0,  275.4,  111.9,  136.8,  177.9,  661.5
1944,  50.9,   23.1,    5.4,   39.1,   16.4,   46.3,  63.2,  60.9,  63.4, 116.0, 131.9,  59.1,  127.0,   60.9,  170.4,  311.3,  675.8
1945,  49.0,   52.9,   28.6,   28.4,   56.4,   58.9,  73.8,  50.2,  52.0,  84.9,  11.5, 102.9,  161.0,  113.4,  182.9,  148.4,  649.5
1946,  63.4,   71.6,   33.8,   57.2,   88.1,   75.4,  47.0, 126.6, 100.2,  33.2, 136.5,  78.0,  237.9,  179.0,  249.1,  269.9,  910.9
1947,  63.8,   43.6,  152.8,   54.3,   39.4,   54.8,  50.4,  11.7,  34.7,  16.0,  38.8,  72.9,  185.4,  246.5,  116.9,   89.5,  633.1
1948, 132.1,   36.9,   23.9,   42.2,   75.8,   64.9,  32.8,  98.4,  57.3,  57.8,  46.9, 105.0,  241.9,  141.9,  196.1,  162.0,  774.1
1949,  30.4,   34.6,   31.9,   42.2,   54.7,   15.9,  25.4,  36.7,  50.5, 189.7,  89.6,  43.4,  170.0,  128.8,   78.0,  329.9,  645.1
1950,  24.0,  128.4,   33.5,   64.8,   42.9,   35.0,  99.4,  82.9,  84.4,  18.4, 155.3,  54.2,  195.8,  141.3,  217.3,  258.1,  823.3
1951,  89.3,  154.2,  100.1,   70.6,   64.4,   33.2,  47.6, 120.4,  87.1,  32.3, 175.2,  70.6,  297.8,  235.0,  201.1,  294.5, 1044.8
1952,  62.8,   22.3,   78.0,   42.6,   62.5,   37.3,  17.0,  89.7,  87.9,  96.1, 101.2,  74.6,  155.7,  183.1,  143.9,  285.2,  771.9
1953,  27.2,   40.2,   11.7,   59.6,   49.6,   49.9,  89.1,  53.8,  82.2,  87.7,  42.5,  21.3,  142.0,  120.9,  192.9,  212.3,  614.7
1954,  43.0,   68.9,   77.4,    8.5,   57.8,   92.0,  78.4,  86.2,  66.6,  66.7, 146.3,  64.3,  133.2,  143.7,  256.6,  279.5,  856.1
1955,  85.3,   46.0,   34.1,   10.9,  109.0,   65.0,  21.1,  28.1,  46.9,  96.5,  50.7,  88.2,  195.7,  154.1,  114.2,  194.1,  681.9
1956, 118.9,   12.0,   19.2,   37.3,   10.7,   59.0,  84.1, 100.1,  82.9,  47.1,  20.2, 110.9,  219.1,   67.2,  243.2,  150.2,  702.5
