time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2022-01-03 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-03 22:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-03 21:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-03 20:00:00,4.4107437e-06,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-03 19:00:00,1.9073486e-05,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-03 23:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-04 18:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-04 17:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-04 16:00:00,4.7683716e-06,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-04 15:00:00,4.464388e-05,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-04 14:00:00,0.000169456,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-04 13:00:00,0.00030511618,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-04 12:00:00,0.00049620867,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-04 10:00:00,0.0006325245,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-04 09:00:00,0.00029820204,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-04 08:00:00,0.00020056963,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-04 07:00:00,0.00025615096,51.6,-0.2,51.5074,-0.1278
2022-01-04 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-04 11:00:00,0.00068590045,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-05 02:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-05 06:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-05 05:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-05 04:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-05 01:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-05 03:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-04 23:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-04 22:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-04 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-05 00:00:00,0.0,51.6,-0.2,51.5074,-0.1278
